position error,pose error,loss
0.001,94.298,94.299
0.001,94.867,94.868
0.001,95.397,95.397
0.002,94.151,94.153
0.001,96.229,96.229
0.002,92.847,92.850
0.000,94.244,94.244
0.000,93.536,93.536
0.000,94.729,94.729
0.000,92.317,92.317
0.000,92.550,92.550
0.000,95.302,95.302
0.002,91.984,91.985
0.001,95.118,95.119
0.003,93.385,93.387
0.003,92.983,92.985
0.001,92.830,92.831
0.000,93.176,93.176
0.000,93.083,93.083
0.001,91.569,91.570
0.001,92.159,92.160
0.001,93.093,93.093
0.002,93.027,93.029
0.001,92.554,92.555
0.001,92.144,92.145
0.002,92.059,92.061
0.002,93.450,93.452
0.000,91.895,91.895
0.000,92.549,92.550
0.002,92.603,92.605
0.002,93.683,93.685
0.000,93.244,93.245
0.001,93.617,93.618
0.002,94.510,94.513
0.001,92.124,92.124
0.000,91.419,91.419
0.001,92.741,92.742
0.000,92.566,92.567
0.002,92.035,92.037
0.003,92.217,92.220
0.001,92.567,92.569
0.000,92.558,92.559
0.000,91.526,91.527
0.000,91.707,91.707
0.002,91.353,91.354
0.001,90.685,90.686
0.000,91.826,91.826
0.000,93.019,93.019
0.000,91.678,91.679
0.001,91.699,91.700
0.001,91.432,91.433
0.001,93.993,93.994
0.000,91.236,91.236
0.000,92.882,92.882
0.001,90.608,90.609
0.001,91.462,91.463
0.001,91.847,91.848
0.003,90.937,90.939
0.000,91.251,91.251
0.003,91.363,91.366
0.001,90.591,90.591
0.001,90.398,90.399
0.003,92.148,92.150
0.001,90.088,90.089
0.000,91.105,91.105
0.000,90.939,90.940
0.001,89.316,89.317
0.001,92.434,92.435
0.000,90.720,90.720
0.001,88.689,88.690
0.002,90.049,90.051
0.001,90.441,90.442
0.000,90.518,90.518
0.001,90.629,90.630
0.000,91.737,91.737
0.000,91.320,91.321
0.000,91.235,91.236
0.000,90.737,90.737
0.000,89.852,89.852
0.000,89.218,89.218
0.000,90.772,90.772
0.002,91.311,91.313
0.006,89.760,89.766
0.004,92.169,92.173
0.000,89.547,89.547
0.003,91.210,91.213
0.000,90.874,90.874
0.000,89.695,89.695
0.002,90.610,90.612
0.002,90.532,90.533
0.000,90.497,90.497
0.000,89.693,89.693
0.001,89.818,89.819
0.000,90.467,90.467
0.001,89.589,89.589
0.002,88.641,88.643
0.001,88.373,88.373
0.000,90.055,90.055
0.001,89.575,89.576
0.001,88.445,88.445
0.001,89.284,89.285
0.001,90.884,90.885
0.001,89.444,89.445
0.000,89.780,89.780
0.001,88.737,88.737
0.000,89.484,89.484
0.000,90.013,90.013
0.003,90.306,90.309
0.002,89.263,89.265
0.000,88.455,88.455
0.002,90.281,90.283
0.001,89.269,89.270
0.000,89.235,89.235
0.001,88.497,88.498
0.001,88.714,88.715
0.001,88.841,88.841
0.001,89.494,89.495
0.000,90.253,90.253
0.001,88.243,88.243
0.000,88.606,88.606
0.001,89.929,89.931
