position accuracy,pose accuracy,position loss,pose loss,loss, running_loss
0.003,0.016,0.586,2.294,2.880,2.912
0.001,0.001,1.247,6.240,1.248,-1
0.000,0.000,2.166,7.835,1.667,-1
0.000,0.016,0.621,2.381,3.002,2.882
0.000,0.009,1.195,6.533,1.288,-1
0.000,0.001,1.939,9.095,1.839,-1
0.003,0.011,0.639,2.182,2.822,2.878
0.001,0.005,1.143,6.141,1.214,-1
0.000,0.000,2.139,9.778,1.986,-1
0.000,0.015,0.579,2.288,2.867,2.858
0.000,0.005,1.167,6.020,1.198,-1
0.000,0.000,1.988,8.482,1.745,-1
0.001,0.015,0.584,2.178,2.7622.839
0.001,0.003,1.231,6.834,1.344,-1
0.000,0.000,1.743,9.086,1.805,-1
0.002,0.016,0.579,2.153,2.732,2.803
0.001,0.002,1.065,7.697,1.460,-1
0.000,0.000,1.542,7.414,1.493,-1
0.000,0.015,0.598,2.195,2.793,2.787
0.000,0.006,1.150,5.855,1.167,-1
0.000,0.000,2.026,8.429,1.743,-1
0.001,0.018,0.579,2.077,2.656,2.754
0.000,0.009,0.902,5.624,1.088,-1
0.000,0.000,1.440,8.233,1.612,-1
0.002,0.018,0.607,2.178,2.785,2.736
0.001,0.006,1.019,6.514,1.255,-1
0.000,0.000,2.124,7.110,1.539,-1
0.000,0.004,0.592,2.142,2.733,2.719
0.000,0.001,1.064,7.825,1.481,-1
0.000,0.000,2.065,6.531,1.433,-1
0.001,0.011,0.615,2.139,2.755,2.696
0.000,0.004,0.995,6.085,1.180,-1
0.000,0.000,2.542,6.622,1.527,-1
0.001,0.011,0.601,2.148,2.749,2.678
0.000,0.005,1.024,6.408,1.239,-1
0.000,0.000,1.937,6.451,1.398,-1
0.000,0.016,0.593,2.087,2.680,2.666
0.000,0.007,1.144,6.046,1.198,-1
0.000,0.000,1.562,6.813,1.396,-1
0.001,0.016,0.561,2.128,2.690,2.643
0.000,0.011,1.135,5.644,1.130,-1
0.000,0.000,1.681,6.529,1.368,-1
0.000,0.010,0.546,2.009,2.555,2.626
0.000,0.005,1.169,6.001,1.195,-1
0.000,0.000,1.910,7.163,1.512,-1
0.000,0.020,0.575,2.020,2.595,2.612
0.000,0.005,1.084,6.216,1.217,-1
0.000,0.000,1.482,6.851,1.389,-1
0.000,0.014,0.567,2.029,2.596,2.588
0.000,0.009,1.137,6.216,1.225,-1
0.000,0.000,1.475,6.230,1.284,-1
0.002,0.015,0.557,2.047,2.604,2.578
0.001,0.007,1.263,6.289,1.259,-1
0.000,0.000,1.483,6.746,1.371,-1
0.001,0.018,0.590,1.930,2.521,2.562
0.000,0.008,1.049,5.727,1.129,-1
0.000,0.000,1.680,6.523,1.367,-1
0.001,0.017,0.574,2.026,2.601,2.549
0.000,0.003,1.104,6.437,1.257,-1
0.000,0.000,1.487,6.030,1.253,-1
0.000,0.011,0.561,1.941,2.502,2.527
0.000,0.005,1.204,6.732,1.323,-1
0.000,0.000,1.262,6.481,1.291,-1
0.002,0.021,0.573,1.915,2.488,2.523
0.000,0.010,1.290,5.881,1.195,-1
0.000,0.000,1.765,6.319,1.347,-1
0.001,0.014,0.557,2.036,2.593,2.504
0.000,0.005,1.153,6.423,1.263,-1
0.000,0.000,1.523,6.277,1.300,-1
0.000,0.017,0.594,1.965,2.559,2.493
0.000,0.006,1.176,5.565,1.123,-1
0.000,0.000,1.471,6.981,1.409,-1
0.000,0.016,0.582,1.901,2.483,2.486
0.000,0.008,1.023,5.882,1.151,-1
0.000,0.000,1.419,8.362,1.630,-1
0.000,0.000,1.424,7.965,9.389
0.000,0.081,0.878,4.347,0.871
0.000,0.000,0.583,6.216,1.133
0.000,0.079,0.854,4.393,0.874
0.000,0.000,1.431,6.101,1.255
