position accuracy,pose accuracy,position loss,pose loss,loss, running_loss
0.002,0.073,0.999,4.240,5.239, 5.204327345725715
0.001,0.076,0.820,4.414,0.872
0.000,0.000,1.392,5.973,1.227
0.000,0.097,0.830,4.287,5.117, 5.122812851536058
0.000,0.082,0.829,4.456,0.881
0.000,0.000,1.626,6.026,1.275
0.000,0.077,0.762,4.366,5.128, 5.099040151806223
0.000,0.083,0.859,4.401,0.877
0.000,0.000,2.023,5.993,1.336
0.000,0.070,0.803,4.640,5.443, 5.093316179272852
0.001,0.082,0.841,4.421,0.877
0.000,0.000,2.195,5.996,1.365
0.000,0.073,0.771,4.336,5.107, 5.091247714047984
0.001,0.083,0.927,4.461,0.898
0.000,0.000,2.014,6.007,1.337
0.000,0.095,0.745,4.220,4.964, 5.089609443725735
0.001,0.079,0.811,4.417,0.871
0.000,0.000,1.464,6.007,1.245
0.000,0.075,0.757,4.325,5.082, 5.090144326829844
0.000,0.078,0.859,4.411,0.878
0.000,0.000,1.784,6.016,1.300
0.000,0.098,0.719,4.338,5.056, 5.087403271986351
0.000,0.086,0.784,4.439,0.871
0.000,0.000,1.738,5.994,1.289
0.002,0.085,0.737,4.503,5.240, 5.0873525965662685
0.001,0.089,0.844,4.448,0.882
0.000,0.000,1.377,6.024,1.234
0.002,0.088,0.794,4.149,4.943, 5.088387093783423
0.000,0.082,0.937,4.388,0.888
0.000,0.000,1.377,5.985,1.227
0.000,0.072,0.752,4.447,5.199, 5.089144086571751
0.000,0.084,0.916,4.435,0.892
0.000,0.000,1.367,6.020,1.231
0.000,0.075,0.768,4.510,5.277, 5.087989906885634
0.001,0.085,0.896,4.455,0.892
0.000,0.000,1.743,6.034,1.296
0.000,0.088,0.787,4.511,5.298, 5.08866224860879
0.000,0.084,0.873,4.427,0.883
0.000,0.000,1.721,6.027,1.291
0.000,0.073,0.756,3.986,4.742, 5.088514758120687
0.001,0.082,0.902,4.386,0.881
0.000,0.000,2.160,6.001,1.360
0.000,0.067,0.786,4.434,5.220, 5.087629686838413
0.000,0.086,0.882,4.434,0.886
0.000,0.000,1.599,6.033,1.272
0.000,0.082,0.737,4.494,5.231, 5.087273362291408
0.001,0.077,0.889,4.423,0.885
0.000,0.000,1.782,5.974,1.293
0.000,0.090,0.745,4.344,5.089, 5.088482594889078
0.000,0.079,0.814,4.422,0.873
0.000,0.000,1.320,6.044,1.227
0.003,0.068,0.789,4.318,5.107, 5.088398765819342
0.000,0.084,0.850,4.375,0.871
0.000,0.000,1.643,5.993,1.273
0.000,0.083,0.748,4.058,4.807, 5.088879354994334
0.001,0.083,0.809,4.419,0.871
0.000,0.000,1.846,5.994,1.307
0.000,0.073,0.735,4.346,5.082, 5.086490082607774
0.000,0.080,0.872,4.401,0.879
0.000,0.000,2.096,6.046,1.357
0.000,0.087,0.764,4.145,4.909, 5.087886415099832
0.000,0.082,0.806,4.415,0.870
0.000,0.000,1.748,6.025,1.296
0.000,0.085,0.750,4.327,5.077, 5.087618193034514
0.001,0.082,0.894,4.439,0.889
0.000,0.000,1.728,6.036,1.294
0.000,0.067,0.772,4.384,5.156, 5.084729856859524
0.000,0.084,0.828,4.426,0.876
0.000,0.000,1.625,5.987,1.269
0.000,0.078,0.754,4.395,5.149, 5.0848437284991
0.001,0.086,0.937,4.462,0.900
0.000,0.000,2.211,6.002,1.369
0.002,0.100,0.724,4.208,4.932, 5.085055161387019
0.000,0.082,0.826,4.422,0.875
0.000,0.000,1.616,6.012,1.271
0.000,0.075,0.800,4.111,4.912, 5.08747163743321
0.000,0.084,0.997,4.406,0.901
0.000,0.000,2.200,6.006,1.368
0.000,0.062,0.730,4.157,4.888, 5.086926299158998
0.000,0.081,0.897,4.470,0.894
0.000,0.000,2.149,5.992,1.357
0.000,0.077,0.809,4.423,5.232, 5.08586660638514
0.000,0.082,0.900,4.483,0.897
0.000,0.000,1.646,5.991,1.273
0.000,0.055,0.800,3.985,4.785, 5.085799007568732
0.001,0.083,0.900,4.439,0.890
0.000,0.000,1.837,5.993,1.305
0.000,0.087,0.752,4.513,5.266, 5.08721213543598
0.000,0.083,0.878,4.429,0.884
0.000,0.000,1.557,6.001,1.260
0.000,0.088,0.748,4.485,5.233, 5.087303307598439
0.000,0.075,0.995,4.427,0.904
0.000,0.000,1.855,6.018,1.312
0.002,0.073,0.753,4.564,5.317, 5.087423095975794
0.000,0.081,0.891,4.414,0.884
0.000,0.000,1.857,5.979,1.306
0.000,0.077,0.764,4.337,5.101, 5.086734785361935
0.001,0.084,0.838,4.425,0.877
0.000,0.000,1.830,5.991,1.304
0.000,0.080,0.727,4.296,5.024, 5.0858518194453985
0.001,0.084,0.864,4.442,0.884
0.000,0.000,1.739,6.014,1.292
0.000,0.072,0.734,4.282,5.016, 5.087295483345766
0.001,0.086,0.923,4.404,0.888
0.000,0.000,2.010,5.997,1.334
0.000,0.055,0.745,4.367,5.112, 5.086042783915414
0.000,0.086,0.869,4.419,0.881
0.000,0.000,1.939,6.001,1.323
0.002,0.073,0.783,4.160,4.943, 5.08575483861495
0.000,0.086,0.922,4.466,0.898
