position accuracy,pose accuracy,position loss,pose loss,loss,running_loss
0.001,0.005,1.143,6.141,1.214,7.284
0,0,2.139,9.778,1.986,11.916
0,0.015,0.579,2.288,2.867,2.858
0,0.005,1.167,6.02,1.198,7.188
0,0,1.988,8.482,1.745,10.47
0.001,0.015,0.584,2.178,2.762,2.839
0.001,0.003,1.231,6.834,1.344,8.064
0,0,1.743,9.086,1.805,10.83
0.002,0.016,0.579,2.153,2.732,2.803
0.001,0.002,1.065,7.697,1.46,8.76
0,0,1.542,7.414,1.493,8.958
0,0.015,0.598,2.195,2.793,2.787
0,0.006,1.15,5.855,1.167,7.002
0,0,2.026,8.429,1.743,10.458
0.001,0.018,0.579,2.077,2.656,2.754
0,0.009,0.902,5.624,1.088,6.528
0,0,1.44,8.233,1.612,9.672
0.002,0.018,0.607,2.178,2.785,2.736
0.001,0.006,1.019,6.514,1.255,7.53
0,0,2.124,7.11,1.539,9.234
0,0.004,0.592,2.142,2.733,2.719
0,0.001,1.064,7.825,1.481,8.886
0,0,2.065,6.531,1.433,8.598
0.001,0.011,0.615,2.139,2.755,2.696
0,0.004,0.995,6.085,1.18,7.08
0,0,2.542,6.622,1.527,9.162
0.001,0.011,0.601,2.148,2.749,2.678
0,0.005,1.024,6.408,1.239,7.434
0,0,1.937,6.451,1.398,8.388
0,0.016,0.593,2.087,2.68,2.666
0,0.007,1.144,6.046,1.198,7.188
0,0,1.562,6.813,1.396,8.376
0.001,0.016,0.561,2.128,2.69,2.643
0,0.011,1.135,5.644,1.13,6.78
0,0,1.681,6.529,1.368,8.208
0,0.01,0.546,2.009,2.555,2.626
0,0.005,1.169,6.001,1.195,7.17
0,0,1.91,7.163,1.512,9.072
0,0.02,0.575,2.02,2.595,2.612
0,0.005,1.084,6.216,1.217,7.302
0,0,1.482,6.851,1.389,8.334
0,0.014,0.567,2.029,2.596,2.588
0,0.009,1.137,6.216,1.225,7.35
0,0,1.475,6.23,1.284,7.704
